,Final Price,Bidders,Duration,Price Dif Mean,Price Dif SD,Time Dif Mean,Time Dif SD
40,26.26,3.0,5.0,0.7825000000000002,0.5800184726122334,53988.875,101057.11151824356
41,485.0,1.0,7.0,0.0,0.0,445972.0,0.0
42,510.0,13.0,3.0,11.837441860465116,18.698028810421402,5982.0,32945.38696518398
43,15.5,4.0,5.0,0.6875,0.6462805671135187,18379.75,38206.32649463025
44,510.0,15.0,3.0,9.788653846153846,8.322515416520428,4181.576923076923,13753.98251109603
45,870.0,10.0,7.0,16.428571428571427,17.964556068138023,43199.71428571428,194448.2177632305
46,70.0,11.0,5.0,1.6642857142857144,1.299872682052761,8679.285714285714,27336.213929766087
47,50.0,1.0,7.0,0.0,0.0,550306.0,0.0
48,500.0,1.0,7.0,0.0,0.0,440396.0,0.0
49,70.0,7.0,5.0,1.9717142857142858,1.789167545033634,12342.342857142858,47087.45766183881
50,1025.0,14.0,7.0,23.026315789473685,26.01713244487829,15651.368421052632,119179.6370218982
51,455.0,6.0,7.0,6.0,3.521363372331802,16641.0,65539.5446874633
52,63.0,5.0,5.0,2.952857142857143,3.8366562823077377,20568.095238095237,50823.64467834313
53,112.5,9.0,7.0,4.4604,6.481932890735602,24191.96,139228.3920034751
54,361.0,11.0,7.0,7.457428571428571,8.137959110698144,17279.914285714287,51361.13956059606
55,75.0,7.0,5.0,5.286428571428571,11.444688124354295,30856.428571428572,68538.00587177249
56,137.5,4.0,7.0,3.5,2.23606797749979,102039.0,178864.35026857644
57,66.0,4.0,7.0,1.7,0.6749485577105528,59999.5,114210.21511060695
58,820.0,7.0,3.0,11.333333333333334,6.651173544857293,17242.0,48931.82582649339
59,455.0,3.0,7.0,8.75,11.086778913041726,150632.25,208064.421189488
60,435.0,10.0,3.0,6.538461538461538,5.547001962252291,19502.23076923077,49371.32056527326
61,780.0,3.0,7.0,11.666666666666666,7.52772652709081,5201.166666666667,9115.418617192885
62,860.0,5.0,7.0,8.572857142857142,3.7802809167472997,74432.14285714286,79646.32122374636
63,920.0,3.0,7.0,6.666666666666667,5.773502691896258,201598.66666666666,298623.06180590496
64,124.99,1.0,7.0,0.0,0.0,214866.0,0.0
65,800.0,13.0,3.0,15.931818181818182,19.156273157075695,5837.25,23689.470768848754
66,860.0,8.0,7.0,25.272727272727273,51.04721522099106,54906.90909090909,114919.00756050284
67,415.0,17.0,5.0,11.5275,11.731523923660921,4390.027777777777,64980.9589317126
68,171.5,2.0,7.0,1.25,1.7677669529663689,298926.5,283383.6491622267
69,277.0,3.0,5.0,5.267272727272727,2.7330901591754744,18297.272727272728,53441.30785467532
70,130.0,1.0,7.0,0.0,0.0,284527.0,0.0
71,850.0,5.0,7.0,10.2,9.757048734120374,120958.6,177956.22017591857
72,920.0,19.0,1.0,17.339811320754716,18.678529580012658,1629.9622641509434,9095.76922353351
73,1300.0,8.0,7.0,23.529411764705884,24.454425077730885,35575.117647058825,106642.94775434189
74,1500.0,8.0,1.0,45.92307692307692,53.60730910746771,5726.0,5993.421907947634
75,210.0,24.0,10.0,3.9423076923076925,3.2804439055095225,16165.615384615385,96335.90200961442
76,167.5,28.0,10.0,2.3214285714285716,2.6405479699828476,12341.657142857142,56242.824875167105
77,1000.0,6.0,3.0,12.5,12.880570286640685,21577.416666666668,28558.149865138268
78,495.0,12.0,7.0,7.681818181818182,8.131165579402113,27490.772727272728,46472.00238744042
79,610.0,6.0,7.0,38.063125,70.81720899317716,119.0,12404.503160814893
80,189.5,3.0,3.0,2.3125,0.9613049166924836,32399.5,54173.10488214081
81,172.5,12.0,10.0,2.65625,1.8047968491402755,49394.4375,146237.0995677767
82,182.5,24.0,10.0,4.22093023255814,5.729490052083289,20092.93023255814,98951.66801871252
83,305.0,26.0,5.0,3.535,7.803966676143162,5023.197674418605,27251.479749491325
84,49.95,1.0,10.0,0.0,0.0,646938.0,0.0
85,470.0,2.0,3.0,5.0,0.0,129269.0,97040.50622291703
86,276.0,4.0,7.0,6.2,3.4816981808051977,26871.1,157995.89171061802
87,237.5,3.0,7.0,9.625,10.980095627998875,50480.5,336832.14749040804
88,1280.0,7.0,10.0,31.11333333333333,23.946932997776564,95992.44444444444,187220.84779820268
89,152.5,14.0,7.0,1.9178481012658228,1.5899400657032328,7479.265822784811,34407.33096814557
90,1275.0,10.0,5.0,24.431818181818183,31.250970386624928,2268.1136363636365,22306.003472019886
91,93.0,16.0,7.0,1.7038888888888888,1.3945262489890597,11199.62962962963,55621.37865940978
92,18.5,7.0,7.0,1.0943749999999999,1.2018761375449634,37799.375,120620.7132952297
93,391.0,11.0,7.0,10.055555555555555,7.279885440454663,33599.88888888889,149310.50899379764
94,72.0,22.0,7.0,1.6907142857142856,2.4887183427513526,13746.380952380952,55911.740547241665
95,817.0,11.0,7.0,13.666666666666666,9.981141638399743,25126.5,49245.529935301696
96,167.5,8.0,7.0,4.125,4.3980109140383,50399.75,83916.3431304437
